SeniorCitizen,tenure,MonthlyCharges,numAdminTickets,numTechTickets,Churn,avg_charge,gender_Male,Partner_Yes,Dependents_Yes,PhoneService_Yes,MultipleLines_Yes,InternetService_Fiber_optic,InternetService_No,OnlineSecurity_Yes,OnlineBackup_Yes,DeviceProtection_Yes,TechSupport_Yes,StreamingTV_Yes,StreamingMovies_Yes,Contract_One_year,Contract_Two_year,PaperlessBilling_Yes,PaymentMethod_Credit_card_automatic,PaymentMethod_Electronic_check,PaymentMethod_Mailed_check,tenure_group_medium,tenure_group_long
0,1,29.85,0,0,0,14.925,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
0,34,56.95,0,0,0,53.98571428571429,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0
0,2,53.85,0,0,1,36.050000000000004,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0
0,45,42.3,0,3,0,40.016304347826086,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1
0,2,70.7,0,0,1,50.550000000000004,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
0,8,99.65,0,0,1,91.16666666666667,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0
0,22,89.1,0,0,0,84.75652173913043,1,0,1,1,1,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0
0,10,29.75,0,0,0,27.44545454545454,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0,28,104.8,0,2,1,105.03620689655173,0,1,0,1,1,1,0,0,0,1,1,1,1,0,0,1,0,1,0,1,0
0,62,56.15,0,0,0,55.364285714285714,1,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1
0,13,49.95,1,0,0,41.96071428571429,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0
0,16,18.95,0,0,0,19.223529411764705,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0
0,58,100.35,0,0,0,96.28983050847458,1,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0,1,0,0,0,1
0,49,103.7,5,4,1,100.726,1,0,0,1,1,1,0,0,1,1,0,1,1,0,0,1,0,0,0,0,1
0,25,105.5,0,0,0,103.3096153846154,1,0,0,1,0,1,0,1,0,1,1,1,1,0,0,1,0,1,0,1,0
0,69,113.25,0,0,0,112.78785714285713,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,0,0,1
0,52,20.65,0,0,0,19.300943396226415,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1
0,71,106.7,0,4,0,102.53125,1,0,1,1,1,1,0,1,0,1,0,1,1,0,1,0,0,0,0,0,1
0,10,55.2,0,0,1,48.03181818181818,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
0,21,90.05,0,0,0,84.67727272727274,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0
1,1,39.65,0,0,1,19.825,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0
0,12,19.8,2,0,0,15.557692307692308,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,1,20.15,4,0,1,10.075,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,58,59.9,1,0,0,59.40847457627118,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,1
0,49,59.6,0,3,0,59.406000000000006,1,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1
0,30,55.3,0,0,0,49.37419354838709,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0
0,47,99.35,0,4,1,98.940625,1,1,1,1,1,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0,1
0,1,30.2,0,0,1,15.1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0,72,90.25,1,0,0,87.2527397260274,1,1,0,1,1,0,0,1,1,1,1,1,1,0,1,1,1,0,0,0,1
0,17,64.7,0,0,1,60.727777777777774,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0
1,71,96.35,0,0,0,93.98541666666667,0,1,0,1,1,1,0,1,1,1,1,0,0,0,1,1,1,0,0,0,1
1,2,95.5,0,0,0,60.550000000000004,1,1,0,1,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0
0,27,66.15,0,0,0,66.94464285714285,0,1,1,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,1,1,0
0,1,20.2,0,0,0,10.1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
